HashThenHash |          269 |         1770 |     0.15x
Interacting |        31255 |         1858 |    16.82x
WidePipe |          269 |           23 |    11.70x
RobustInteraction |        10853 |         1384 |     7.84x
Concatenation |       132481 |         3832 |    34.57x
XorSum |          299 |         3478 |     0.09x
HashThenHash |          269 |         3941 |     0.07x
Interacting |        85266 |         2855 |    29.87x
WidePipe |          269 |           23 |    11.70x
RobustInteraction |        39338 |         3292 |    11.95x
Concatenation |       168521 |         7675 |    21.96x
XorSum |          299 |         5856 |     0.05x
HashThenHash |          797 |         7957 |     0.10x
Interacting |       375729 |         7727 |    48.63x
WidePipe |          797 |           23 |    34.65x
RobustInteraction |        57961 |         6021 |     9.63x
Concatenation |       168521 |         9919 |    16.99x
XorSum |         1433 |        12787 |     0.11x
HashThenHash |          797 |         9919 |     0.08x
Interacting |      1370212 |        15777 |    86.85x
WidePipe |          797 |           23 |    34.65x
RobustInteraction |       168521 |        13077 |    12.89x
Concatenation |      4271156 |        30848 |   138.46x
XorSum |         1669 |        26050 |     0.06x
HashThenHash |          921 |        29137 |     0.03x
Interacting |     11886336 |        27476 |   432.61x
WidePipe |          921 |           25 |    36.84x
RobustInteraction |      2041836 |        24150 |    84.55x
Concatenation |     20380519 |        50672 |   402.20x
XorSum |         1741 |        68948 |     0.03x
HashThenHash |         4426 |        50516 |     0.09x
Interacting |     19591514 |        51615 |   379.57x
WidePipe |         4426 |           27 |   163.93x
RobustInteraction |      2628145 |        61697 |    42.60x
Concatenation |     47691565 |       108759 |   438.51x
XorSum |         8790 |       150722 |     0.06x
HashThenHash |         8555 |       105427 |     0.08x
Interacting |     22299824 |       135974 |   164.00x
WidePipe |         8555 |           29 |   295.00x
RobustInteraction |     36256371 |       147058 |   246.54x
Concatenation |     75906369 |       332784 |   228.10x
XorSum |        16455 |       287830 |     0.06x
HashThenHash |         9007 |       332784 |     0.03x
Concatenation |        52561 |         1611 |    32.63x
XorSum |          243 |         1345 |     0.18x
HashThenHash |          269 |         1770 |     0.15x
Interacting |        31255 |         1858 |    16.82x
WidePipe |          269 |           23 |    11.70x
RobustInteraction |        10853 |         1384 |     7.84x
