
--- START: bits=26 | Direct Limit=134217728 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |     448636 |      17605 |    25.48x
StandardSha256 | XorSum |       3035 |       1044 |     2.91x
StandardSha256 | HashThenHash |        348 |      10456 |     0.03x
StandardSha256 | Interacting |    1294598 |      16584 |    78.06x
StandardSha256 | WidePipe |       1507 |      16584 |     0.09x
StandardSha256 | RobustInteraction |     790196 |      17605 |    44.88x
CustomFeistel | Concatenation |     533814 |      16484 |    32.38x
CustomFeistel | XorSum |        139 |       1044 |     0.13x
CustomFeistel | HashThenHash |       1520 |      13363 |     0.11x
CustomFeistel | Interacting |     159571 |      15463 |    10.32x
CustomFeistel | WidePipe |       1471 |      15463 |     0.10x
CustomFeistel | RobustInteraction |     615246 |      16484 |    37.32x
Sha256PlusFeistel | Concatenation |     454458 |      17605 |    25.81x
Sha256PlusFeistel | XorSum |       1187 |       1044 |     1.14x
Sha256PlusFeistel | HashThenHash |       1062 |      17691 |     0.06x
Sha256PlusFeistel | Interacting |     657076 |      16584 |    39.62x
Sha256PlusFeistel | WidePipe |       1507 |      16584 |     0.09x
Sha256PlusFeistel | RobustInteraction |    2045838 |      17605 |   116.21x
FeistelPlusSha256 | Concatenation |    2029824 |      16484 |   123.14x
FeistelPlusSha256 | XorSum |       1108 |       1044 |     1.06x
FeistelPlusSha256 | HashThenHash |        551 |       9211 |     0.06x
FeistelPlusSha256 | Interacting |     919468 |      15463 |    59.46x
FeistelPlusSha256 | WidePipe |       1471 |      15463 |     0.10x
FeistelPlusSha256 | RobustInteraction |    1567395 |      16484 |    95.09x
--- END OF ROUND bits=20 ---


--- TEST ROUND: bits=22 | Direct Limit=20971520 | Joux Levels=11 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |    3010717 |      23079 |   130.45x
StandardSha256 | XorSum |       5096 |       2070 |     2.46x
StandardSha256 | HashThenHash |       3970 |      35966 |     0.11x
StandardSha256 | Interacting |    6331770 |      21034 |   301.03x
StandardSha256 | WidePipe |       2955 |      21034 |     0.14x
StandardSha256 | RobustInteraction |    2381078 |      23079 |   103.17x
CustomFeistel | Concatenation |    2549922 |      27913 |    91.35x
CustomFeistel | XorSum |        139 |       2070 |     0.07x
CustomFeistel | HashThenHash |       1932 |      17402 |     0.11x
CustomFeistel | Interacting |     919226 |      25868 |    35.54x
CustomFeistel | WidePipe |       1471 |      25868 |     0.06x
CustomFeistel | RobustInteraction |    2572412 |      27913 |    92.16x
Sha256PlusFeistel | Concatenation |    5439701 |      23079 |   235.70x
Sha256PlusFeistel | XorSum |       3048 |       2070 |     1.47x
Sha256PlusFeistel | HashThenHash |       4252 |      30429 |     0.14x
Sha256PlusFeistel | Interacting |    2318488 |      21034 |   110.23x
Sha256PlusFeistel | WidePipe |       2955 |      21034 |     0.14x
Sha256PlusFeistel | RobustInteraction |    4884753 |      23079 |   211.65x
FeistelPlusSha256 | Concatenation |    6044470 |      27913 |   216.55x
FeistelPlusSha256 | XorSum |       1537 |       2070 |     0.74x
FeistelPlusSha256 | HashThenHash |       4888 |      34643 |     0.14x
FeistelPlusSha256 | Interacting |    2404572 |      25868 |    92.96x
FeistelPlusSha256 | WidePipe |       1471 |      25868 |     0.06x
FeistelPlusSha256 | RobustInteraction |    2057432 |      27913 |    73.71x
--- END OF ROUND bits=22 ---


--- TEST ROUND: bits=24 | Direct Limit=83886080 | Joux Levels=12 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |   33398056 |      68577 |   487.02x
StandardSha256 | XorSum |       5096 |       4120 |     1.24x
StandardSha256 | HashThenHash |       3970 |      60831 |     0.07x
StandardSha256 | Interacting |   33167730 |      64484 |   514.36x
StandardSha256 | WidePipe |       2955 |      64484 |     0.05x
StandardSha256 | RobustInteraction |   13689398 |      68577 |   199.62x
CustomFeistel | Concatenation |   15125674 |      73139 |   206.81x
CustomFeistel | XorSum |       5598 |       4120 |     1.36x
CustomFeistel | HashThenHash |       2652 |      71673 |     0.04x
CustomFeistel | Interacting |    6448915 |      69046 |    93.40x
CustomFeistel | WidePipe |       5321 |      69046 |     0.08x
CustomFeistel | RobustInteraction |    2870506 |      73139 |    39.25x
Sha256PlusFeistel | Concatenation |   14776259 |      68577 |   215.47x
Sha256PlusFeistel | XorSum |      14909 |       4120 |     3.62x
Sha256PlusFeistel | HashThenHash |      12020 |      76739 |     0.16x
Sha256PlusFeistel | Interacting |   11909323 |      64484 |   184.69x
Sha256PlusFeistel | WidePipe |       2955 |      64484 |     0.05x
Sha256PlusFeistel | RobustInteraction |   20565894 |      68577 |   299.89x
FeistelPlusSha256 | Concatenation |    7554575 |      73139 |   103.29x
FeistelPlusSha256 | XorSum |       5454 |       4120 |     1.32x
FeistelPlusSha256 | HashThenHash |       4888 |      51698 |     0.09x
FeistelPlusSha256 | Interacting |   32216104 |      69046 |   466.59x
FeistelPlusSha256 | WidePipe |       5321 |      69046 |     0.08x
FeistelPlusSha256 | RobustInteraction |    2429009 |      73139 |    33.21x
--- END OF ROUND bits=24 ---


--- TEST ROUND: bits=26 | Direct Limit=335544320 | Joux Levels=13 ---
Algorithm Pair       | Combination       |   Dir Iter |  Joux Iter |    Ratio
StandardSha256 | Concatenation |   89646710 |     141347 |   634.23x
StandardSha256 | XorSum |       5096 |       8218 |     0.62x
StandardSha256 | HashThenHash |       6523 |     133318 |     0.05x
StandardSha256 | Interacting |  132397776 |     133158 |   994.29x
StandardSha256 | WidePipe |       4079 |     133158 |     0.03x
StandardSha256 | RobustInteraction |  104931374 |     141347 |   742.37x
CustomFeistel | Concatenation |   50449764 |     168518 |   299.37x
CustomFeistel | XorSum |       6115 |       8218 |     0.74x
CustomFeistel | HashThenHash |       7836 |     149940 |     0.05x
CustomFeistel | Interacting |   36148916 |     160329 |   225.47x
CustomFeistel | WidePipe |      20863 |     160329 |     0.13x
CustomFeistel | RobustInteraction |   45376228 |     168518 |   269.27x
Sha256PlusFeistel | Concatenation |   90494168 |     141347 |   640.23x
Sha256PlusFeistel | XorSum |      14909 |       8218 |     1.81x
Sha256PlusFeistel | HashThenHash |      12569 |     129648 |     0.10x
Sha256PlusFeistel | Interacting |   68360266 |     133158 |   513.38x
